tasks,trial,algorithm,waiting,turnaround,throughput,runtime
10,0,FIFO,11.1,14.8,0.27,4e-06
10,0,RoundRobin,11.3,15.0,0.27,2.3e-05
10,0,Priority,12.3,16.0,0.27,1.7e-05
10,0,GWO,11.1,14.8,0.27,0.004242
10,1,FIFO,16.4,22.0,0.179,3e-06
10,1,RoundRobin,24.8,30.4,0.179,2.2e-05
10,1,Priority,18.2,23.8,0.179,1.4e-05
10,1,GWO,16.4,22.0,0.179,0.004238
10,2,FIFO,16.2,20.7,0.222,2e-06
10,2,RoundRobin,18.3,22.8,0.222,1.4e-05
10,2,Priority,17.2,21.7,0.222,9e-06
10,2,GWO,16.2,20.7,0.222,0.004027
10,3,FIFO,16.3,21.0,0.213,2e-06
10,3,RoundRobin,20.2,24.9,0.213,1.4e-05
10,3,Priority,18.1,22.8,0.213,8e-06
10,3,GWO,16.3,21.0,0.213,0.004154
10,4,FIFO,17.0,21.4,0.227,2e-06
10,4,RoundRobin,14.7,19.1,0.227,1.6e-05
10,4,Priority,14.5,18.9,0.227,1e-05
10,4,GWO,17.0,21.4,0.227,0.004065
10,5,FIFO,23.6,29.0,0.185,2e-06
10,5,RoundRobin,26.7,32.1,0.185,1.6e-05
10,5,Priority,16.3,21.7,0.185,1.1e-05
10,5,GWO,23.6,29.0,0.185,0.004067
10,6,FIFO,26.5,32.9,0.156,2e-06
10,6,RoundRobin,37.4,43.8,0.156,1.7e-05
10,6,Priority,26.0,32.4,0.156,8e-06
10,6,GWO,26.5,32.9,0.156,0.004091
10,7,FIFO,17.3,23.1,0.172,2e-06
10,7,RoundRobin,23.5,29.3,0.172,2.3e-05
10,7,Priority,23.3,29.1,0.172,9e-06
10,7,GWO,17.3,23.1,0.172,0.00414
10,8,FIFO,22.8,28.2,0.185,2e-06
10,8,RoundRobin,28.3,33.7,0.185,1.8e-05
10,8,Priority,24.9,30.3,0.185,1.2e-05
10,8,GWO,22.8,28.2,0.185,0.004063
10,9,FIFO,26.6,34.0,0.135,2e-06
10,9,RoundRobin,45.2,52.6,0.135,1.8e-05
10,9,Priority,26.8,34.2,0.135,1e-05
10,9,GWO,26.6,34.0,0.135,0.004039
10,10,FIFO,18.0,22.4,0.227,2e-06
10,10,RoundRobin,20.0,24.4,0.227,1.4e-05
10,10,Priority,15.2,19.6,0.227,8e-06
10,10,GWO,18.0,22.4,0.227,0.00452
10,11,FIFO,23.0,27.5,0.222,3e-06
10,11,RoundRobin,22.8,27.3,0.222,1.9e-05
10,11,Priority,13.1,17.6,0.222,1.5e-05
10,11,GWO,23.0,27.5,0.222,0.004736
10,12,FIFO,25.5,32.4,0.145,3e-06
10,12,RoundRobin,36.9,43.8,0.145,2.4e-05
10,12,Priority,25.4,32.3,0.145,1.4e-05
10,12,GWO,25.5,32.4,0.145,0.004291
10,13,FIFO,14.9,19.8,0.204,3e-06
10,13,RoundRobin,20.5,25.4,0.204,1.8e-05
10,13,Priority,12.4,17.3,0.204,1.2e-05
10,13,GWO,14.9,19.8,0.204,0.004437
10,14,FIFO,26.6,32.8,0.161,3e-06
10,14,RoundRobin,33.1,39.3,0.161,2.1e-05
10,14,Priority,28.3,34.5,0.161,1.3e-05
10,14,GWO,26.6,32.8,0.161,0.00419
10,15,FIFO,20.0,25.9,0.169,3e-06
10,15,RoundRobin,28.9,34.8,0.169,2e-05
10,15,Priority,18.4,24.3,0.169,1.2e-05
10,15,GWO,20.0,25.9,0.169,0.004068
10,16,FIFO,22.4,28.3,0.169,2e-06
10,16,RoundRobin,28.9,34.8,0.169,1.8e-05
10,16,Priority,20.3,26.2,0.169,1e-05
10,16,GWO,22.4,28.3,0.169,0.004266
10,17,FIFO,15.4,20.5,0.196,3e-06
10,17,RoundRobin,20.2,25.3,0.196,1.9e-05
10,17,Priority,22.3,27.4,0.196,1.3e-05
10,17,GWO,15.4,20.5,0.196,0.004072
10,18,FIFO,21.3,25.7,0.227,2e-06
10,18,RoundRobin,21.6,26.0,0.227,1.5e-05
10,18,Priority,19.0,23.4,0.227,1.1e-05
10,18,GWO,21.3,25.7,0.227,0.004202
10,19,FIFO,28.0,35.1,0.141,2e-06
10,19,RoundRobin,47.0,54.1,0.141,2e-05
10,19,Priority,27.2,34.3,0.141,1.1e-05
