tasks,algorithm,wait_mean,wait_std,turn_mean,turn_std,throughput_mean,runtime_mean
10,FIFO,15.4,2.42,19.98,2.94,0.222,3e-06
10,GWO,15.4,2.42,19.98,2.94,0.222,0.004456
10,Priority,16.06,2.58,20.64,3.18,0.222,1.3e-05
10,RoundRobin,17.86,5.17,22.44,5.83,0.222,1.9e-05
50,FIFO,97.46,8.29,102.52,8.44,0.198,1.6e-05
50,GWO,97.46,8.29,102.52,8.44,0.198,0.022858
50,Priority,100.5,4.5,105.57,4.55,0.198,5.6e-05
50,RoundRobin,123.0,9.78,128.07,10.02,0.198,7.8e-05
100,FIFO,206.49,7.72,211.81,7.84,0.188,2.3e-05
100,GWO,206.49,7.72,211.81,7.84,0.188,0.045679
100,Priority,212.07,15.1,217.39,15.25,0.188,9.8e-05
100,RoundRobin,267.24,17.57,272.56,17.73,0.188,0.000138
500,FIFO,1090.71,19.82,1096.09,19.93,0.186,0.000135
500,GWO,1090.71,19.82,1096.09,19.93,0.186,0.238176
500,Priority,1094.64,35.56,1100.03,35.68,0.186,0.000573
500,RoundRobin,1418.44,61.86,1423.83,61.98,0.186,0.000785
1000,FIFO,2198.67,39.88,2204.09,39.96,0.185,0.000294
1000,GWO,2198.67,39.88,2204.09,39.96,0.185,0.493705
1000,Priority,2193.33,52.37,2198.74,52.46,0.185,0.001192
1000,RoundRobin,2874.47,66.57,2879.89,66.67,0.185,0.001615
5000,FIFO,11156.33,167.18,11161.81,167.24,0.182,0.001994
5000,GWO,11156.33,167.18,11161.81,167.24,0.182,2.650445
5000,Priority,11178.88,159.7,11184.37,159.76,0.182,0.007595
5000,RoundRobin,14595.95,311.67,14601.43,311.73,0.182,0.009853
10000,FIFO,22474.66,205.73,22480.17,205.74,0.181,0.004788
10000,GWO,22474.66,205.73,22480.17,205.74,0.181,5.527269
10000,Priority,22498.56,98.67,22504.07,98.68,0.181,0.031146
10000,RoundRobin,29441.72,254.54,29447.23,254.56,0.181,0.022044
